VOU_VEN_GRP	VOU_VEN_CD	VOU_INV_NO	VOU_COMMENT	VOU_INV_DATE	VOU_RECEIVED_DT	VOU_REFERENCE	VOU_TO_BE_PAID	VOUD_RATE	VOU_CO	VOUD_DB_SEG1	VOUD_DB_SEG2	VOUD_DB_SEG3	VOUD_DB_SEG4
COMM	LI193	AR100248_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	4019.60	4019.60	732	732	20052	2000	0
COMM	LI1755	BR1001335_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	2386.50	2386.50	732	732	20052	2000	0
COMM	LI1888	BR1001344_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	2009.32	2009.32	732	732	20052	2000	0
COMM	LI1342	CH100031_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	295.00	295.00	732	732	20052	2000	0
COMM	LI1481	CH100048_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	372.43	372.43	732	732	20052	2000	0
COMM	LI2	CR100002_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	1545.74	1545.74	732	732	20052	2000	0
COMM	LI809	HO1001179_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	296.83	296.83	732	732	20052	2000	0
COMM	LI669	HO100976_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	2425.65	2425.65	732	732	20052	2000	0
COMM	LI1879	MX100905_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	397.45	397.45	732	732	20052	2000	0
COMM	LI1338	PE1001193_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	1169.69	1169.69	732	732	20052	2000	0
COMM	LI1491	CH100052_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	765.50	765.50	732	732	20052	2000	0
COMM	LI1549	CH100067_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	810.70	810.70	732	732	20052	2000	0
COMM	LI1649	CH100084_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	1674.00	1674.00	732	732	20052	2000	0
COMM	LI1654	HK100009_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	1152.00	1152.00	732	732	20052	2000	0
COMM	LI1023	PE1001166_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	2321.41	2321.41	732	732	20052	2000	0
COMM	LI1413	PE1001211_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	405.91	405.91	732	732	20052	2000	0
COMM	LI1587	SA100013_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	591.00	591.00	732	732	20052	2000	0
COMM	LI1	APM00001_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	28743.05	28743.05	732	732	20052	2000	0
COMM	LI1596	US100005_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	1746.15	1746.15	732	732	20052	2000	0
COMM	LI102	VE100127_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	257.61	257.61	732	732	20052	2000	0
COMM	LI134	VE100166_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	255.46	255.46	732	732	20052	2000	0
COMM	LI146	VE100184_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	517.27	517.27	732	732	20052	2000	0
